Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
50m,Men,1,23.86,Jonty Skinner,South Africa,1976-08-14,US National Championships,"Philadelphia, United States"
50m,Men,2,23.74,Joe Bottom,United States,1977-07-03,Canada Cup,"Etobicoke, Canada"
50m,Men,3,23.72,Ron Manganiello,United States,1978-07-29,-,"Miami, United States"
50m,Men,4,23.7,Klaus Steinbach,West Germany,1979-07-23,-,"Freiburg, West Germany"
50m,Men,5,23.66,Chris Cavanaugh,United States,1980-02-02,International Invitational,"Amersfoort, Netherlands"
50m,Men,6,23.12,Chris Cavanaugh,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Men,7,22.96,Rowdy Gaines,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Men,8,22.83,Bruce Stahl,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Men,8,22.83,Joe Bottom,United States,1980-08-15,Hawaiian Invitational,"Honolulu, United States"
50m,Men,10,22.71,Joe Bottom,United States,1980-08-15,Hawaiian Invitational,"Honolulu, United States"
50m,Men,11,22.54,Robin Leamy,United States,1981-08-15,US National Championships,"Brown Deer, United States"
50m,Men,12,22.52,Dano Halsall,Switzerland,1985-07-21,Swiss Championships,"Bellinzona, Switzerland"
50m,Men,13,22.4,Tom Jager,United States,1985-12-06,USS Invitational,"Austin, United States"
50m,Men,14,22.33,Matt Biondi,United States,1986-06-26,USA World Championship Trials,"Orlando, United States"
50m,Men,14,22.33,Matt Biondi,United States,1987-07-30,US National Championships,"Clovis, United States"
50m,Men,16,22.32,Tom Jager,United States,1987-08-13,Pan Pacific Championships,"Brisbane, Australia"
50m,Men,17,22.23,Tom Jager,United States,1988-03-25,US Spring National Championships,"Orlando, United States"
50m,Men,-,22.18,Peter Williams,South Africa,1988-04-10,CSCA Invitational,"Indianapolis, United States"
50m,Men,18,22.14,Matt Biondi,United States,1988-09-24,Olympic Games,"Seoul, South Korea"
50m,Men,19,22.12,Tom Jager,United States,1989-08-20,Pan Pacific Championships,"Tokyo, Japan"
50m,Men,20,21.98,Tom Jager,United States,1990-03-24,US Sprint Championships,"Nashville, United States"
50m,Men,21,21.81,Tom Jager,United States,1990-03-24,US Sprint Championships,"Nashville, United States"
50m,Men,22,21.64,Alexander Popov,Russia,2000-06-16,Russian Championships,"Moscow, Russia"
50m,Men,23,21.56,Eamon Sullivan,Australia,2008-02-17,NSW Championships,"Sydney, Australia"
50m,Men,24,21.5,Alain Bernard,France,2008-03-23,European Championships,"Eindhoven, Netherlands"
